,Site,Longitude,Latitude,Depth,DistCoast,DistStream,Population,Effluent,UrbanIndex,PointIndex,AgrIndex,FormPlIndex,FragIndex,DitchIndex,Label
180,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
181,MAI-152,-156.6913231,20.88389154,10.0,373.604257914,1277.42593213,49392.0,959400.0,0.4507,0.0448,0.21945,0.5423,0.1288,0.3455,1
182,MAI-110,-156.6705218,20.85815105,3.0,130.872813616999,138.872259351,26226.0,948500.0,0.357933333333333,0.0,0.569,0.3613,0.1234,0.726133333333333,2
183,MAI-194,-156.5913139,20.79761283,3.0,124.583434194,253.554183802,11157.0,610600.0,0.266825,0.0,0.28445,0.1529,0.2971,0.3141,2
184,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
185,MAI-114,-156.6905119,20.88291278,4.0,273.353738068999,1180.00379578999,48769.0,960400.0,0.4507,0.0448,0.21945,0.5423,0.1288,0.3455,1
186,MAI-173,-156.6689049,20.85585684,9.0,262.915536781,316.359686936,26790.0,949100.0,0.357933333333333,0.0,0.569,0.3613,0.1234,0.726133333333333,2
187,MAI-082,-156.6009713,20.79620434,22.0,879.155515108,989.180423552999,5411.0,620800.0,0.28345,0.0227,0.294625,0.3255,0.313,0.50985,1
188,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
189,MAI-117,-156.4258088,20.58783182,26.0,673.115594152999,7434.35644147,3728.0,122100.0,0.0,0.0,0.0,0.0,0.0,0.0,2
190,MAI-076,-156.4466003,20.64990526,11.0,366.057789816,958.578512361999,33516.0,862400.0,0.4922,0.0,0.3305,0.0,0.2466,0.0,1
192,MAI-216,-156.4509649,20.703732,13.0,408.954518214,1121.57186512,53419.0,978700.0,0.658533333333333,0.0,0.231666666666667,0.0,0.136433333333333,0.0,1
193,MAI-199,-156.4590817,20.71490927,22.0,1253.91495705,1297.64002264,49244.0,910100.0,0.66545,0.0,0.23385,0.0,0.20275,0.0,1
195,LAN-086,-156.8289592,20.86122469,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
196,LAN-144,-156.8013791,20.82282426,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
197,LAN-075,-156.9101182,20.92158705,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
198,LAN-071,-156.8728603,20.90102607,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
199,LAN-105,-156.8590085,20.89274274,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
200,LAN-077,-156.8136992,20.84040161,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
201,LAN-140,-156.8118095,20.83885431,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
202,LAN-094,-156.9271747,20.73622512,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
203,LAN-099,-156.9372327,20.73600585,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
204,LAN-131,-156.964147,20.73142715,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
205,LAN-132,-156.9914245,20.78225258,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
206,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
207,LAN-074,-156.9875116,20.81102941,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
208,LAN-113,-157.0423951,20.86534398,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
210,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
212,MOL-075,-157.2574898,21.08174686,11.0,714.516170949999,723.884901631,5436.0,37900.0,0.063325,0.0,0.131075,0.0,0.0,0.0,1
213,MOL-060,-157.2545208,21.07712617,21.0,930.577571768999,1279.52017204,5219.0,33000.0,0.063325,0.0,0.131075,0.0,0.0,0.0,2
214,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
215,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
216,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
217,OAH-101,-157.6834691,21.37001191,12.0,2441.25559110999,2753.69313276999,254480.0,890753.0,0.0,0.0,0.0,0.0,0.0,0.0,2
218,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
219,OAH-184,-157.6856685,21.37513879,13.0,2104.5233566,2634.82852211999,240757.0,876683.0,0.0,0.0,0.0,0.0,0.0,0.0,2
220,OAH-215,-157.7079005,21.40562318,12.5,1610.75761166,2034.88031054,212388.0,810683.0,0.7412,0.00855,0.14455,0.0,0.0905,0.3018,2
221,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
